PPI,Pathogen_protein,Host_protein,class
ORF3A~Q96GZ6,ORF3A,Q96GZ6,Negative
NSP6~P23921,NSP6,P23921,Negative
N~O96008,N,O96008,Negative
N~Q9C091,N,Q9C091,Negative
NSP10~Q8N138,NSP10,Q8N138,Negative
NSP3~Q9UBI1,NSP3,Q9UBI1,Negative
NSP9~Q96J02,NSP9,Q96J02,Negative
NSP5~Q8N1S5,NSP5,Q8N1S5,Negative
NSP12~P40855,NSP12,P40855,Negative
NSP15~Q13492,NSP15,Q13492,Negative
NSP3~P46776,NSP3,P46776,Negative
NSP16~P17066,NSP16,P17066,Negative
NSP3~P52848,NSP3,P52848,Negative
NSP1~Q8IZA0,NSP1,Q8IZA0,Negative
NSP16~Q8IXM6,NSP16,Q8IXM6,Negative
NSP9~P23141,NSP9,P23141,Negative
NSP7~O76021,NSP7,O76021,Negative
ORF9B~Q9Y2Z0,ORF9B,Q9Y2Z0,Negative
ORF3A~Q8N1B4,ORF3A,Q8N1B4,Negative
NSP12~Q9HD26,NSP12,Q9HD26,Negative
NSP15~Q15758,NSP15,Q15758,Negative
NSP7~Q9GZQ3,NSP7,Q9GZQ3,Negative
NSP15~Q9NVR5,NSP15,Q9NVR5,Negative
ORF8~Q13206,ORF8,Q13206,Negative
NSP5~Q8N5K1,NSP5,Q8N5K1,Negative
NSP8~Q96IG2,NSP8,Q96IG2,Negative
N~O00115,N,O00115,Negative
ORF7B~Q6P1X5,ORF7B,Q6P1X5,Negative
ORF9B~P42126,ORF9B,P42126,Negative
NSP5~Q9NRM7,NSP5,Q9NRM7,Negative
NSP12~O14828,NSP12,O14828,Negative
M~P14314,M,P14314,Negative
NSP5~Q13217,NSP5,Q13217,Negative
ORF8~Q9HC44,ORF8,Q9HC44,Negative
ORF14~Q8WUK0,ORF14,Q8WUK0,Negative
NSP7~Q16850,NSP7,Q16850,Negative
ORF14~Q9UK73,ORF14,Q9UK73,Negative
ORF7A~Q9NVI7,ORF7A,Q9NVI7,Negative
ORF9B~Q5JS37,ORF9B,Q5JS37,Negative
NSP4~Q8IUC6,NSP4,Q8IUC6,Negative
NSP2~Q9BZG1,NSP2,Q9BZG1,Negative
NSP7~Q15363,NSP7,Q15363,Negative
NSP1~Q658Y4,NSP1,Q658Y4,Negative
NSP2~Q6DD87,NSP2,Q6DD87,Negative
NSP15~O15269,NSP15,O15269,Negative
ORF3A~Q14534,ORF3A,Q14534,Negative
ORF7A~Q96GF1,ORF7A,Q96GF1,Negative
NSP7~Q99614,NSP7,Q99614,Negative
NSP16~P51148,NSP16,P51148,Negative
NSP12~Q9Y5Y0,NSP12,Q9Y5Y0,Negative
NSP1~Q9BWN1,NSP1,Q9BWN1,Negative
NSP12~Q00796,NSP12,Q00796,Negative
ORF9B~Q68DK7,ORF9B,Q68DK7,Negative
NSP9~Q10469,NSP9,Q10469,Negative
ORF3A~P42771,ORF3A,P42771,Negative
N~O75063,N,O75063,Negative
NSP2~Q9H6F5,NSP2,Q9H6F5,Negative
ORF14~Q9NRK6,ORF14,Q9NRK6,Negative
NSP2~Q9NR82,NSP2,Q9NR82,Negative
ORF6~Q9NZV1,ORF6,Q9NZV1,Negative
M~O75110,M,O75110,Negative
NSP14~Q8NFT2,NSP14,Q8NFT2,Negative
N~P37173,N,P37173,Negative
NSP9~Q9H2G9,NSP9,Q9H2G9,Negative
NSP9~O00192,NSP9,O00192,Negative
ORF8~Q92569,ORF8,Q92569,Negative
NSP6~Q69YQ0,NSP6,Q69YQ0,Negative
NSP13~Q9BS16,NSP13,Q9BS16,Negative
ORF6~Q86TI0,ORF6,Q86TI0,Negative
NSP3~Q9NXW2,NSP3,Q9NXW2,Negative
ORF6~P17026,ORF6,P17026,Negative
ORF7B~Q5JWF2,ORF7B,Q5JWF2,Negative
NSP8~Q49A26,NSP8,Q49A26,Negative
NSP12~O14966,NSP12,O14966,Negative
NSP10~P00387,NSP10,P00387,Negative
ORF3A~Q96SN8,ORF3A,Q96SN8,Negative
NSP3~P35240,NSP3,P35240,Negative
S~P18085,S,P18085,Negative
NSP14~Q9Y5B9,NSP14,Q9Y5B9,Negative
ORF7B~P82673,ORF7B,P82673,Negative
ORF9B~Q9Y5F0,ORF9B,Q9Y5F0,Negative
NSP4~Q14667,NSP4,Q14667,Negative
NSP7~Q8IZV5,NSP7,Q8IZV5,Negative
M~Q93073,M,Q93073,Negative
NSP13~O14828,NSP13,O14828,Negative
E~Q9H6E5,E,Q9H6E5,Negative
NSP14~Q8N5Y8,NSP14,Q8N5Y8,Negative
ORF3B~O75410,ORF3B,O75410,Negative
NSP6~Q8N122,NSP6,Q8N122,Negative
NSP13~Q96AX9,NSP13,Q96AX9,Negative
NSP15~Q6JQN1,NSP15,Q6JQN1,Negative
NSP12~Q9Y6M7,NSP12,Q9Y6M7,Negative
ORF8~Q6PIU2,ORF8,Q6PIU2,Negative
NSP9~P17252,NSP9,P17252,Negative
ORF3B~Q9H2E6,ORF3B,Q9H2E6,Negative
NSP15~Q96HE9,NSP15,Q96HE9,Negative
NSP14~P56706,NSP14,P56706,Negative
S~Q13586,S,Q13586,Negative
NSP4~Q86YR5,NSP4,Q86YR5,Negative
ORF8~Q24JP5,ORF8,Q24JP5,Negative
ORF6~Q5T6F2,ORF6,Q5T6F2,Negative
ORF7A~Q8IUD2,ORF7A,Q8IUD2,Negative
NSP10~Q9NQ84,NSP10,Q9NQ84,Negative
S~Q9HCU4,S,Q9HCU4,Negative
NSP5~Q8NFT2,NSP5,Q8NFT2,Negative
E~Q3KR37,E,Q3KR37,Negative
E~Q8IUH5,E,Q8IUH5,Negative
ORF14~P60981,ORF14,P60981,Negative
ORF3B~Q9UJX5,ORF3B,Q9UJX5,Negative
NSP6~Q9Y287,NSP6,Q9Y287,Negative
NSP15~Q8N2K0,NSP15,Q8N2K0,Negative
NSP2~Q93009,NSP2,Q93009,Negative
ORF3B~Q00325,ORF3B,Q00325,Negative
ORF6~Q9BVA0,ORF6,Q9BVA0,Negative
NSP6~Q8TAT6,NSP6,Q8TAT6,Negative
ORF6~Q5T3F8,ORF6,Q5T3F8,Negative
S~Q9UJX4,S,Q9UJX4,Negative
ORF3A~Q8N2K0,ORF3A,Q8N2K0,Negative
ORF9B~P30825,ORF9B,P30825,Negative
NSP8~Q6ZXV5,NSP8,Q6ZXV5,Negative
NSP13~Q14571,NSP13,Q14571,Negative
NSP13~O15498,NSP13,O15498,Negative
NSP16~Q15907,NSP16,Q15907,Negative
ORF3B~Q96QK1,ORF3B,Q96QK1,Negative
ORF7B~P51148,ORF7B,P51148,Negative
NSP7~P49810,NSP7,P49810,Negative
NSP9~Q8NBF2,NSP9,Q8NBF2,Negative
ORF6~Q5KU26,ORF6,Q5KU26,Negative
NSP3~Q9GZT8,NSP3,Q9GZT8,Negative
ORF9B~P46779,ORF9B,P46779,Negative
M~Q86X29,M,Q86X29,Negative
NSP8~Q7Z7N9,NSP8,Q7Z7N9,Negative
NSP8~Q9HB20,NSP8,Q9HB20,Negative
NSP7~P06744,NSP7,P06744,Negative
N~Q96HE9,N,Q96HE9,Negative
NSP2~Q9P2K1,NSP2,Q9P2K1,Negative
ORF9B~Q86X10,ORF9B,Q86X10,Negative
NSP13~Q8WTW3,NSP13,Q8WTW3,Negative
E~Q8IXU6,E,Q8IXU6,Negative
ORF14~Q99873,ORF14,Q99873,Negative
ORF8~O94830,ORF8,O94830,Negative
NSP13~P48735,NSP13,P48735,Negative
ORF3B~Q9P0U3,ORF3B,Q9P0U3,Negative
ORF9B~Q15014,ORF9B,Q15014,Negative
ORF3B~P13164,ORF3B,P13164,Negative
NSP5~Q96JI7,NSP5,Q96JI7,Negative
ORF3B~Q96AY4,ORF3B,Q96AY4,Negative
S~Q96RQ3,S,Q96RQ3,Negative
S~Q96K12,S,Q96K12,Negative
NSP7~Q9NX00,NSP7,Q9NX00,Negative
NSP2~Q9H8H2,NSP2,Q9H8H2,Negative
ORF9B~O00767,ORF9B,O00767,Negative
NSP9~Q8TBN0,NSP9,Q8TBN0,Negative
NSP4~O75063,NSP4,O75063,Negative
ORF14~P42166,ORF14,P42166,Negative
E~Q9NV31,E,Q9NV31,Negative
ORF7A~P21399,ORF7A,P21399,Negative
NSP15~P62314,NSP15,P62314,Negative
E~Q9H501,E,Q9H501,Negative
ORF14~Q06481,ORF14,Q06481,Negative
ORF9B~Q96KC8,ORF9B,Q96KC8,Negative
NSP16~Q13480,NSP16,Q13480,Negative
N~P23284,N,P23284,Negative
S~P01031,S,P01031,Negative
NSP3~Q8NFJ5,NSP3,Q8NFJ5,Negative
NSP16~Q9BW60,NSP16,Q9BW60,Negative
NSP3~Q9NZV1,NSP3,Q9NZV1,Negative
NSP7~Q5VTR2,NSP7,Q5VTR2,Negative
NSP2~Q96C36,NSP2,Q96C36,Negative
NSP1~Q8NBQ5,NSP1,Q8NBQ5,Negative
N~Q6ZMZ3,N,Q6ZMZ3,Negative
NSP12~Q9NQP4,NSP12,Q9NQP4,Negative
ORF6~A8MXV4,ORF6,A8MXV4,Negative
NSP4~O94979,NSP4,O94979,Negative
NSP12~Q9BXS6,NSP12,Q9BXS6,Negative
ORF14~Q9GZM5,ORF14,Q9GZM5,Negative
NSP9~Q53HC0,NSP9,Q53HC0,Negative
NSP15~Q9BUQ8,NSP15,Q9BUQ8,Negative
ORF7B~P19388,ORF7B,P19388,Negative
NSP6~Q9P0U3,NSP6,Q9P0U3,Negative
ORF3B~Q92569,ORF3B,Q92569,Negative
NSP16~O15260,NSP16,O15260,Negative
NSP16~Q14137,NSP16,Q14137,Negative
ORF7B~Q96QF0,ORF7B,Q96QF0,Negative
NSP9~O00559,NSP9,O00559,Negative
S~Q9P258,S,Q9P258,Negative
NSP9~O15143,NSP9,O15143,Negative
ORF6~Q86Y07,ORF6,Q86Y07,Negative
NSP2~Q9H2G9,NSP2,Q9H2G9,Negative
ORF7A~Q9BXB1,ORF7A,Q9BXB1,Negative
NSP7~Q9BVK2,NSP7,Q9BVK2,Negative
ORF14~Q8IXU6,ORF14,Q8IXU6,Negative
E~Q96PD2,E,Q96PD2,Negative
M~P62854,M,P62854,Negative
NSP3~P43003,NSP3,P43003,Negative
ORF7B~Q75QN2,ORF7B,Q75QN2,Negative
NSP1~Q9H019,NSP1,Q9H019,Negative
ORF8~O95297,ORF8,O95297,Negative
ORF7B~O43615,ORF7B,O43615,Negative
NSP8~Q15773,NSP8,Q15773,Negative
ORF9B~Q96JQ2,ORF9B,Q96JQ2,Negative
NSP6~P49748,NSP6,P49748,Negative
S~Q5VZ89,S,Q5VZ89,Negative
NSP5~P50395,NSP5,P50395,Negative
ORF7B~Q9UNH7,ORF7B,Q9UNH7,Negative
NSP9~P19075,NSP9,P19075,Negative
ORF7B~Q96EB1,ORF7B,Q96EB1,Negative
ORF3B~P09914,ORF3B,P09914,Negative
ORF7A~O15400,ORF7A,O15400,Negative
N~Q96J02,N,Q96J02,Negative
ORF14~Q15654,ORF14,Q15654,Negative
NSP9~Q16625,NSP9,Q16625,Negative
NSP4~Q8IYS2,NSP4,Q8IYS2,Negative
NSP2~Q14207,NSP2,Q14207,Negative
ORF8~O75390,ORF8,O75390,Negative
NSP5~P62633,NSP5,P62633,Negative
ORF9B~P54652,ORF9B,P54652,Negative
ORF6~Q5H9R7,ORF6,Q5H9R7,Negative
ORF9B~O75387,ORF9B,O75387,Negative
ORF9B~Q8TBA6,ORF9B,Q8TBA6,Negative
S~P61247,S,P61247,Negative
ORF9B~P04035,ORF9B,P04035,Negative
NSP9~O00400,NSP9,O00400,Negative
NSP13~O15173,NSP13,O15173,Negative
NSP6~Q96AX9,NSP6,Q96AX9,Negative
NSP3~Q9NRM7,NSP3,Q9NRM7,Negative
NSP8~Q9BY77,NSP8,Q9BY77,Negative
NSP8~Q96HE9,NSP8,Q96HE9,Negative
ORF3A~P16989,ORF3A,P16989,Negative
ORF8~Q6IC98,ORF8,Q6IC98,Negative
E~O43609,E,O43609,Negative
NSP7~Q8N9T8,NSP7,Q8N9T8,Negative
NSP9~O15258,NSP9,O15258,Negative
ORF9B~O14979,ORF9B,O14979,Negative
NSP12~Q6UVK1,NSP12,Q6UVK1,Negative
NSP4~O43920,NSP4,O43920,Negative
S~Q12769,S,Q12769,Negative
ORF7A~O00192,ORF7A,O00192,Negative
NSP7~P49736,NSP7,P49736,Negative
NSP9~Q15070,NSP9,Q15070,Negative
NSP13~Q9Y426,NSP13,Q9Y426,Negative
NSP13~Q9Y394,NSP13,Q9Y394,Negative
ORF9B~Q96FF9,ORF9B,Q96FF9,Negative
ORF6~Q9NQ84,ORF6,Q9NQ84,Negative
NSP7~A5YKK6,NSP7,A5YKK6,Negative
ORF3B~O75718,ORF3B,O75718,Negative
NSP13~Q9UBH6,NSP13,Q9UBH6,Negative
NSP1~O00469,NSP1,O00469,Negative
ORF3B~Q9NXB0,ORF3B,Q9NXB0,Negative
ORF7A~Q5JPE7,ORF7A,Q5JPE7,Negative
NSP3~Q9UBM7,NSP3,Q9UBM7,Negative
M~Q02880,M,Q02880,Negative
NSP8~Q9NV64,NSP8,Q9NV64,Negative
NSP3~O00115,NSP3,O00115,Negative
NSP16~Q8TED0,NSP16,Q8TED0,Negative
NSP2~O15126,NSP2,O15126,Negative
NSP12~Q92859,NSP12,Q92859,Negative
ORF9B~Q9HBM0,ORF9B,Q9HBM0,Negative
NSP9~Q8N766,NSP9,Q8N766,Negative
NSP3~Q16584,NSP3,Q16584,Negative
ORF7B~P31644,ORF7B,P31644,Negative
NSP1~Q6NUQ4,NSP1,Q6NUQ4,Negative
ORF3A~Q92569,ORF3A,Q92569,Negative
NSP8~Q5VV52,NSP8,Q5VV52,Negative
NSP7~Q9Y679,NSP7,Q9Y679,Negative
NSP3~O60716,NSP3,O60716,Negative
NSP7~Q8IUC6,NSP7,Q8IUC6,Negative
NSP5~Q99618,NSP5,Q99618,Negative
NSP6~P78552,NSP6,P78552,Negative
S~P42765,S,P42765,Negative
NSP8~Q96QU8,NSP8,Q96QU8,Negative
NSP12~Q96GF1,NSP12,Q96GF1,Negative
NSP8~Q9UN70,NSP8,Q9UN70,Negative
ORF7A~Q96HC4,ORF7A,Q96HC4,Negative
NSP3~Q86W74,NSP3,Q86W74,Negative
E~P46779,E,P46779,Negative
NSP13~P53367,NSP13,P53367,Negative
NSP8~Q75V66,NSP8,Q75V66,Negative
NSP14~O43609,NSP14,O43609,Negative
ORF3B~Q6W2J9,ORF3B,Q6W2J9,Negative
NSP1~P27797,NSP1,P27797,Negative
M~Q92896,M,Q92896,Negative
ORF9B~Q99615,ORF9B,Q99615,Negative
NSP8~O14744,NSP8,O14744,Negative
NSP6~A6NHR9,NSP6,A6NHR9,Negative
ORF7A~O00400,ORF7A,O00400,Negative
NSP9~Q969N2,NSP9,Q969N2,Negative
NSP4~Q8N2H3,NSP4,Q8N2H3,Negative
NSP1~P43034,NSP1,P43034,Negative
NSP9~O75083,NSP9,O75083,Negative
ORF9B~Q9BVI4,ORF9B,Q9BVI4,Negative
ORF9B~Q9Y6M7,ORF9B,Q9Y6M7,Negative
NSP5~Q15008,NSP5,Q15008,Negative
NSP15~O95470,NSP15,O95470,Negative
NSP13~Q9BXB1,NSP13,Q9BXB1,Negative
NSP13~Q9NRZ5,NSP13,Q9NRZ5,Negative
NSP15~P52799,NSP15,P52799,Negative
NSP4~P00367,NSP4,P00367,Negative
ORF8~P17858,ORF8,P17858,Negative
ORF6~Q8NDV7,ORF6,Q8NDV7,Negative
NSP2~P12277,NSP2,P12277,Negative
NSP9~O96005,NSP9,O96005,Negative
NSP8~Q9UGP8,NSP8,Q9UGP8,Negative
NSP12~Q96G23,NSP12,Q96G23,Negative
NSP16~Q9UMY1,NSP16,Q9UMY1,Negative
NSP16~Q8NB49,NSP16,Q8NB49,Negative
ORF6~O95487,ORF6,O95487,Negative
NSP6~Q9UNX4,NSP6,Q9UNX4,Negative
NSP14~P35611,NSP14,P35611,Negative
NSP15~P62910,NSP15,P62910,Negative
NSP2~P62081,NSP2,P62081,Negative
ORF3B~P30084,ORF3B,P30084,Negative
NSP8~Q86YQ8,NSP8,Q86YQ8,Negative
NSP9~P58004,NSP9,P58004,Negative
NSP9~Q9BV44,NSP9,Q9BV44,Negative
NSP9~Q8N5T2,NSP9,Q8N5T2,Negative
M~Q8IWR1,M,Q8IWR1,Negative
NSP7~Q9Y4W6,NSP7,Q9Y4W6,Negative
NSP8~Q3T8J9,NSP8,Q3T8J9,Negative
ORF9B~P04899,ORF9B,P04899,Negative
ORF9B~P49841,ORF9B,P49841,Negative
NSP2~P82912,NSP2,P82912,Negative
S~P07237,S,P07237,Negative
NSP1~Q8N357,NSP1,Q8N357,Negative
NSP10~P49840,NSP10,P49840,Negative
NSP2~P62937,NSP2,P62937,Negative
NSP13~P04439,NSP13,P04439,Negative
NSP2~Q02952,NSP2,Q02952,Negative
M~Q969N2,M,Q969N2,Negative
NSP13~Q9UK32,NSP13,Q9UK32,Negative
NSP1~Q9UBH6,NSP1,Q9UBH6,Negative
S~O14744,S,O14744,Negative
S~Q02790,S,Q02790,Negative
NSP8~P05198,NSP8,P05198,Negative
NSP5~Q96LJ7,NSP5,Q96LJ7,Negative
NSP5~O14966,NSP5,O14966,Negative
NSP6~Q9H0L4,NSP6,Q9H0L4,Negative
M~P62318,M,P62318,Negative
NSP4~Q5K4L6,NSP4,Q5K4L6,Negative
NSP9~Q15154,NSP9,Q15154,Negative
NSP7~Q8IWT6,NSP7,Q8IWT6,Negative
ORF7B~Q8N122,ORF7B,Q8N122,Negative
NSP8~Q8IXK0,NSP8,Q8IXK0,Negative
NSP3~P68104,NSP3,P68104,Negative
NSP14~Q99550,NSP14,Q99550,Negative
NSP10~O94901,NSP10,O94901,Negative
E~Q5J8M3,E,Q5J8M3,Negative
ORF9B~O00115,ORF9B,O00115,Negative
NSP4~Q13642,NSP4,Q13642,Negative
NSP16~Q8IUC6,NSP16,Q8IUC6,Negative
ORF8~Q9Y5Y0,ORF8,Q9Y5Y0,Negative
NSP16~P07306,NSP16,P07306,Negative
NSP8~Q14019,NSP8,Q14019,Negative
NSP1~Q9HD45,NSP1,Q9HD45,Negative
NSP7~Q96KA5,NSP7,Q96KA5,Negative
NSP8~Q8WVJ2,NSP8,Q8WVJ2,Negative
NSP15~Q96HV5,NSP15,Q96HV5,Negative
ORF7B~Q9H9B4,ORF7B,Q9H9B4,Negative
ORF14~P34897,ORF14,P34897,Negative
NSP4~Q9H3R2,NSP4,Q9H3R2,Negative
ORF7B~Q53HC0,ORF7B,Q53HC0,Negative
NSP14~Q99500,NSP14,Q99500,Negative
ORF3A~O00400,ORF3A,O00400,Negative
NSP14~P46926,NSP14,P46926,Negative
NSP12~Q15118,NSP12,Q15118,Negative
NSP8~P13747,NSP8,P13747,Negative
NSP1~Q5GLZ8,NSP1,Q5GLZ8,Negative
NSP14~Q13370,NSP14,Q13370,Negative
NSP12~Q9H1E5,NSP12,Q9H1E5,Negative
N~Q8IWB1,N,Q8IWB1,Negative
S~P47900,S,P47900,Negative
NSP5~Q9NVX2,NSP5,Q9NVX2,Negative
ORF3B~P51572,ORF3B,P51572,Negative
NSP1~Q9HD26,NSP1,Q9HD26,Negative
N~Q9Y678,N,Q9Y678,Negative
NSP12~P08758,NSP12,P08758,Negative
NSP8~P49720,NSP8,P49720,Negative
NSP5~P51571,NSP5,P51571,Negative
NSP2~Q8N0Z8,NSP2,Q8N0Z8,Negative
ORF9B~O00425,ORF9B,O00425,Negative
NSP6~Q9H2P9,NSP6,Q9H2P9,Negative
ORF7A~Q9NZC7,ORF7A,Q9NZC7,Negative
NSP9~Q8TEH3,NSP9,Q8TEH3,Negative
ORF14~Q13884,ORF14,Q13884,Negative
NSP10~Q9NW15,NSP10,Q9NW15,Negative
NSP14~P29323,NSP14,P29323,Negative
ORF3A~Q7Z5J4,ORF3A,Q7Z5J4,Negative
N~Q96KP1,N,Q96KP1,Negative
NSP9~O43570,NSP9,O43570,Negative
ORF3A~P42677,ORF3A,P42677,Negative
ORF7A~Q8IZH2,ORF7A,Q8IZH2,Negative
NSP8~Q8IWJ2,NSP8,Q8IWJ2,Negative
ORF3A~Q14699,ORF3A,Q14699,Negative
E~Q9P0S3,E,Q9P0S3,Negative
NSP13~P50479,NSP13,P50479,Negative
ORF3B~Q9H0U4,ORF3B,Q9H0U4,Negative
NSP7~Q14789,NSP7,Q14789,Negative
N~Q9Y4I1,N,Q9Y4I1,Negative
ORF7A~Q58EX7,ORF7A,Q58EX7,Negative
NSP13~A1L3X0,NSP13,A1L3X0,Negative
NSP15~Q8IWA4,NSP15,Q8IWA4,Negative
NSP3~Q9NRC1,NSP3,Q9NRC1,Negative
NSP1~Q9BTY2,NSP1,Q9BTY2,Negative
ORF7A~Q9BUN8,ORF7A,Q9BUN8,Negative
ORF8~Q9Y6M5,ORF8,Q9Y6M5,Negative
NSP1~Q9Y446,NSP1,Q9Y446,Negative
NSP2~Q86UU1,NSP2,Q86UU1,Negative
NSP2~P42226,NSP2,P42226,Negative
NSP4~P23634,NSP4,P23634,Negative
ORF8~Q8TEY7,ORF8,Q8TEY7,Negative
NSP13~Q96PM5,NSP13,Q96PM5,Negative
ORF6~P28838,ORF6,P28838,Negative
NSP1~O43795,NSP1,O43795,Negative
NSP10~Q8TAT6,NSP10,Q8TAT6,Negative
E~Q13627,E,Q13627,Negative
ORF3A~Q8IZE3,ORF3A,Q8IZE3,Negative
ORF7A~P17987,ORF7A,P17987,Negative
NSP2~Q9H8W4,NSP2,Q9H8W4,Negative
NSP5~Q9NR31,NSP5,Q9NR31,Negative
NSP3~Q8N0U8,NSP3,Q8N0U8,Negative
NSP8~Q9UH65,NSP8,Q9UH65,Negative
NSP2~Q96GC9,NSP2,Q96GC9,Negative
ORF3B~Q14165,ORF3B,Q14165,Negative
E~Q96ME7,E,Q96ME7,Negative
ORF14~P35611,ORF14,P35611,Negative
NSP2~P17980,NSP2,P17980,Negative
S~Q8IWA4,S,Q8IWA4,Negative
NSP15~Q9H0S4,NSP15,Q9H0S4,Negative
NSP16~O76003,NSP16,O76003,Negative
NSP13~O14763,NSP13,O14763,Negative
NSP15~P30990,NSP15,P30990,Negative
NSP15~Q96A33,NSP15,Q96A33,Negative
N~P62873,N,P62873,Negative
NSP5~Q5J8M3,NSP5,Q5J8M3,Negative
N~Q15813,N,Q15813,Negative
NSP14~Q8TF71,NSP14,Q8TF71,Negative
ORF7B~O43396,ORF7B,O43396,Negative
NSP7~P14735,NSP7,P14735,Negative
ORF6~Q8TAD4,ORF6,Q8TAD4,Negative
M~Q86XT9,M,Q86XT9,Negative
E~Q8TEH3,E,Q8TEH3,Negative
E~P19075,E,P19075,Negative
E~Q9H9Y6,E,Q9H9Y6,Negative
NSP10~P53621,NSP10,P53621,Negative
ORF7A~Q2KHR3,ORF7A,Q2KHR3,Negative
NSP2~O14964,NSP2,O14964,Negative
NSP1~P07947,NSP1,P07947,Negative
ORF7A~Q92887,ORF7A,Q92887,Negative
ORF6~Q9BV23,ORF6,Q9BV23,Negative
NSP10~P52799,NSP10,P52799,Negative
NSP14~P07686,NSP14,P07686,Negative
ORF9B~Q5VSY0,ORF9B,Q5VSY0,Negative
NSP9~Q6PJW8,NSP9,Q6PJW8,Negative
NSP7~Q8N357,NSP7,Q8N357,Negative
NSP7~Q07021,NSP7,Q07021,Negative
E~Q9NQX7,E,Q9NQX7,Negative
NSP4~P68104,NSP4,P68104,Negative
NSP9~Q8NBM4,NSP9,Q8NBM4,Negative
NSP10~P61769,NSP10,P61769,Negative
NSP5~O14979,NSP5,O14979,Negative
NSP9~Q9BTC8,NSP9,Q9BTC8,Negative
NSP15~O14525,NSP15,O14525,Negative
NSP8~Q6NT16,NSP8,Q6NT16,Negative
NSP8~P10620,NSP8,P10620,Negative
S~P27449,S,P27449,Negative
NSP10~P82912,NSP10,P82912,Negative
ORF9B~Q8IW92,ORF9B,Q8IW92,Negative
NSP1~Q01650,NSP1,Q01650,Negative
M~P62993,M,P62993,Negative
NSP6~Q96JW4,NSP6,Q96JW4,Negative
ORF14~P82673,ORF14,P82673,Negative
ORF14~O60503,ORF14,O60503,Negative
E~Q9H8H3,E,Q9H8H3,Negative
N~Q15185,N,Q15185,Negative
ORF3A~O94788,ORF3A,O94788,Negative
NSP1~Q9H9Y6,NSP1,Q9H9Y6,Negative
NSP15~Q14318,NSP15,Q14318,Negative
NSP14~Q9NZ53,NSP14,Q9NZ53,Negative
NSP7~P04920,NSP7,P04920,Negative
ORF6~Q16799,ORF6,Q16799,Negative
ORF3A~Q8WUK0,ORF3A,Q8WUK0,Negative
ORF7A~Q96RD7,ORF7A,Q96RD7,Negative
NSP5~Q9H6U8,NSP5,Q9H6U8,Negative
N~O94806,N,O94806,Negative
N~Q9NV66,N,Q9NV66,Negative
NSP3~Q8N5K1,NSP3,Q8N5K1,Negative
NSP2~Q9NSY1,NSP2,Q9NSY1,Negative
NSP2~P48594,NSP2,P48594,Negative
NSP16~P62277,NSP16,P62277,Negative
NSP10~Q14166,NSP10,Q14166,Negative
NSP14~Q5JSZ5,NSP14,Q5JSZ5,Negative
M~O00194,M,O00194,Negative
M~Q8IXB1,M,Q8IXB1,Negative
ORF8~P49069,ORF8,P49069,Negative
NSP15~Q8TF71,NSP15,Q8TF71,Negative
NSP2~P19404,NSP2,P19404,Negative
NSP8~O14656,NSP8,O14656,Negative
ORF7B~O76031,ORF7B,O76031,Negative
ORF3A~Q6P158,ORF3A,Q6P158,Negative
NSP8~Q8IZJ1,NSP8,Q8IZJ1,Negative
NSP8~P63027,NSP8,P63027,Negative
NSP4~Q7Z5J4,NSP4,Q7Z5J4,Negative
NSP13~Q9H490,NSP13,Q9H490,Negative
NSP1~Q9UBQ6,NSP1,Q9UBQ6,Negative
NSP10~P84996,NSP10,P84996,Negative
NSP15~Q99941,NSP15,Q99941,Negative
ORF7B~Q14667,ORF7B,Q14667,Negative
N~Q9GZT8,N,Q9GZT8,Negative
ORF14~P50395,ORF14,P50395,Negative
NSP9~Q99707,NSP9,Q99707,Negative
ORF7B~O60826,ORF7B,O60826,Negative
NSP5~Q9Y5W7,NSP5,Q9Y5W7,Negative
NSP14~A2RRP1,NSP14,A2RRP1,Negative
E~P21397,E,P21397,Negative
ORF6~P48552,ORF6,P48552,Negative
N~Q8IZV5,N,Q8IZV5,Negative
ORF7B~Q96CW1,ORF7B,Q96CW1,Negative
NSP12~Q8TEW0,NSP12,Q8TEW0,Negative
ORF7B~Q7KZI7,ORF7B,Q7KZI7,Negative
NSP9~Q6FI81,NSP9,Q6FI81,Negative
NSP9~Q15388,NSP9,Q15388,Negative
ORF9B~Q8NCG7,ORF9B,Q8NCG7,Negative
E~P42765,E,P42765,Negative
NSP9~P15880,NSP9,P15880,Negative
NSP7~Q9Y5X3,NSP7,Q9Y5X3,Negative
ORF8~P11766,ORF8,P11766,Negative
NSP2~P50851,NSP2,P50851,Negative
ORF9B~Q9NSY1,ORF9B,Q9NSY1,Negative
ORF3A~Q9UNQ0,ORF3A,Q9UNQ0,Negative
NSP9~Q6ZU65,NSP9,Q6ZU65,Negative
E~Q8N4V1,E,Q8N4V1,Negative
NSP9~Q86UK7,NSP9,Q86UK7,Negative
NSP7~O75845,NSP7,O75845,Negative
ORF8~Q5J8M3,ORF8,Q5J8M3,Negative
ORF14~Q9Y2S6,ORF14,Q9Y2S6,Negative
NSP10~Q16531,NSP10,Q16531,Negative
NSP13~Q9H583,NSP13,Q9H583,Negative
ORF7A~Q9H501,ORF7A,Q9H501,Negative
NSP6~Q9UKB1,NSP6,Q9UKB1,Negative
NSP6~P12235,NSP6,P12235,Negative
NSP1~Q9GZY8,NSP1,Q9GZY8,Negative
N~P35998,N,P35998,Negative
